customerid,tenure,monthlycharges,totalcharges,churn,seniorcitizen,partner,dependents,source,avgmonthly,contract_One year,contract_Two year,paymentmethod_Credit card (automatic),paymentmethod_Electronic check,paymentmethod_Mailed check,gender_Male,internetservice_Fiber optic,internetservice_No,tenurebucket_13-24,tenurebucket_25-48,tenurebucket_49+
7590-VHVEG,1,29.85,29.85,0,0,Yes,No,kaggle,29.85,False,False,False,True,False,False,False,False,False,False,False
5575-GNVDE,34,56.95,1889.5,0,0,No,No,kaggle,55.5735294117647,True,False,False,False,True,True,False,False,False,True,False
3668-QPYBK,2,53.85,108.15,1,0,No,No,kaggle,54.075,False,False,False,False,True,True,False,False,False,False,False
7795-CFOCW,45,42.3,1840.75,0,0,No,No,kaggle,40.90555555555556,True,False,False,False,False,True,False,False,False,True,False
9237-HQITU,2,70.7,151.65,1,0,No,No,kaggle,75.825,False,False,False,True,False,False,True,False,False,False,False
9305-CDSKC,8,99.65,820.5,1,0,No,No,kaggle,102.5625,False,False,False,True,False,False,True,False,False,False,False
1452-KIOVK,22,89.1,1949.4,0,0,No,Yes,kaggle,88.60909090909091,False,False,True,False,False,True,True,False,True,False,False
6713-OKOMC,10,29.75,301.9,0,0,No,No,kaggle,30.189999999999998,False,False,False,False,True,False,False,False,False,False,False
7892-POOKP,28,104.8,3046.05,1,0,Yes,No,kaggle,108.78750000000001,False,False,False,True,False,False,True,False,False,True,False
6388-TABGU,62,56.15,3487.95,0,0,No,Yes,kaggle,56.25725806451613,True,False,False,False,False,True,False,False,False,False,True
9763-GRSKD,13,49.95,587.45,0,0,Yes,Yes,kaggle,45.18846153846154,False,False,False,False,True,True,False,False,True,False,False
7469-LKBCI,16,18.95,326.8,0,0,No,No,kaggle,20.425,False,True,True,False,False,True,False,True,True,False,False
8091-TTVAX,58,100.35,5681.1,0,0,Yes,No,kaggle,97.95,True,False,True,False,False,True,True,False,False,False,True
0280-XJGEX,49,103.7,5036.3,1,0,No,No,kaggle,102.78163265306122,False,False,False,False,False,True,True,False,False,False,True
