customerid,tenure,monthlycharges,totalcharges,contract,paymentmethod,churn,gender,seniorcitizen,partner,dependents,internetservice,source
7590-VHVEG,1,29.85,29.85,Month-to-month,Electronic check,0,Female,0,Yes,No,DSL,kaggle
5575-GNVDE,34,56.95,1889.5,One year,Mailed check,0,Male,0,No,No,DSL,kaggle
3668-QPYBK,2,53.85,108.15,Month-to-month,Mailed check,1,Male,0,No,No,DSL,kaggle
7795-CFOCW,45,42.3,1840.75,One year,Bank transfer (automatic),0,Male,0,No,No,DSL,kaggle
9237-HQITU,2,70.7,151.65,Month-to-month,Electronic check,1,Female,0,No,No,Fiber optic,kaggle
9305-CDSKC,8,99.65,820.5,Month-to-month,Electronic check,1,Female,0,No,No,Fiber optic,kaggle
1452-KIOVK,22,89.1,1949.4,Month-to-month,Credit card (automatic),0,Male,0,No,Yes,Fiber optic,kaggle
6713-OKOMC,10,29.75,301.9,Month-to-month,Mailed check,0,Female,0,No,No,DSL,kaggle
7892-POOKP,28,104.8,3046.05,Month-to-month,Electronic check,1,Female,0,Yes,No,Fiber optic,kaggle
6388-TABGU,62,56.15,3487.95,One year,Bank transfer (automatic),0,Male,0,No,Yes,DSL,kaggle
9763-GRSKD,13,49.95,587.45,Month-to-month,Mailed check,0,Male,0,Yes,Yes,DSL,kaggle
7469-LKBCI,16,18.95,326.8,Two year,Credit card (automatic),0,Male,0,No,No,No,kaggle
8091-TTVAX,58,100.35,5681.1,One year,Credit card (automatic),0,Male,0,Yes,No,Fiber optic,kaggle
0280-XJGEX,49,103.7,5036.3,Month-to-month,Bank transfer (automatic),1,Male,0,No,No,Fiber optic,kaggle
5129-JLPIS,25,105.5,2686.05,Month-to-month,Electronic check,0,Male,0,No,No,Fiber optic,kaggle
3655-SNQYZ,69,113.25,7895.15,Two year,Credit card (automatic),0,Female,0,Yes,Yes,Fiber optic,kaggle
8191-XWSZG,52,20.65,1022.95,One year,Mailed check,0,Female,0,No,No,No,kaggle
9959-WOFKT,71,106.7,7382.25,Two year,Bank transfer (automatic),0,Male,0,No,Yes,Fiber optic,kaggle
4190-MFLUW,10,55.2,528.35,Month-to-month,Credit card (automatic),1,Female,0,Yes,Yes,DSL,kaggle
4183-MYFRB,21,90.05,1862.9,Month-to-month,Electronic check,0,Female,0,No,No,Fiber optic,kaggle
8779-QRDMV,1,39.65,39.65,Month-to-month,Electronic check,1,Male,1,No,No,DSL,kaggle
1680-VDCWW,12,19.8,202.25,One year,Bank transfer (automatic),0,Male,0,Yes,No,No,kaggle
1066-JKSGK,1,20.15,20.15,Month-to-month,Mailed check,1,Male,0,No,No,No,kaggle
3638-WEABW,58,59.9,3505.1,Two year,Credit card (automatic),0,Female,0,Yes,No,DSL,kaggle
6322-HRPFA,49,59.6,2970.3,Month-to-month,Credit card (automatic),0,Male,0,Yes,Yes,DSL,kaggle
6865-JZNKO,30,55.3,1530.6,Month-to-month,Bank transfer (automatic),0,Female,0,No,No,DSL,kaggle
6467-CHFZW,47,99.35,4749.15,Month-to-month,Electronic check,1,Male,0,Yes,Yes,Fiber optic,kaggle
8665-UTDHZ,1,30.2,30.2,Month-to-month,Electronic check,1,Male,0,Yes,Yes,DSL,kaggle
5248-YGIJN,72,90.25,6369.45,Two year,Credit card (automatic),0,Male,0,Yes,No,DSL,kaggle
8773-HHUOZ,17,64.7,1093.1,Month-to-month,Mailed check,1,Female,0,No,Yes,DSL,kaggle
3841-NFECX,71,96.35,6766.95,Two year,Credit card (automatic),0,Female,1,Yes,No,Fiber optic,kaggle
4929-XIHVW,2,95.5,181.65,Month-to-month,Credit card (automatic),0,Male,1,Yes,No,Fiber optic,kaggle
6827-IEAUQ,27,66.15,1874.45,One year,Mailed check,0,Female,0,Yes,Yes,DSL,kaggle
7310-EGVHZ,1,20.2,20.2,Month-to-month,Bank transfer (automatic),0,Male,0,No,No,No,kaggle
3413-BMNZE,1,45.25,45.25,Month-to-month,Bank transfer (automatic),0,Male,1,No,No,DSL,kaggle
6234-RAAPL,72,99.9,7251.7,Two year,Bank transfer (automatic),0,Female,0,Yes,Yes,Fiber optic,kaggle
6047-YHPVI,5,69.7,316.9,Month-to-month,Electronic check,1,Male,0,No,No,Fiber optic,kaggle
6572-ADKRS,46,74.8,3548.3,Month-to-month,Credit card (automatic),0,Female,0,No,No,Fiber optic,kaggle
5380-WJKOV,34,106.35,3549.25,Month-to-month,Electronic check,1,Male,0,No,No,Fiber optic,kaggle
8168-UQWWF,11,97.85,1105.4,Month-to-month,Bank transfer (automatic),1,Female,0,No,No,Fiber optic,kaggle
8865-TNMNX,10,49.55,475.7,One year,Mailed check,0,Male,0,Yes,Yes,DSL,kaggle
9489-DEDVP,70,69.2,4872.35,Two year,Credit card (automatic),0,Female,0,Yes,Yes,DSL,kaggle
9867-JCZSP,17,20.75,418.25,One year,Mailed check,0,Female,0,Yes,Yes,No,kaggle
4671-VJLCL,63,79.85,4861.45,Two year,Credit card (automatic),0,Female,0,No,No,DSL,kaggle
4080-IIARD,13,76.2,981.45,Month-to-month,Electronic check,0,Female,0,Yes,No,DSL,kaggle
3714-NTNFO,49,84.5,3906.7,Month-to-month,Electronic check,0,Female,0,No,No,Fiber optic,kaggle
5948-UJZLF,2,49.25,97.0,Month-to-month,Mailed check,0,Male,0,No,No,DSL,kaggle
7760-OYPDY,2,80.65,144.15,Month-to-month,Electronic check,1,Female,0,No,No,Fiber optic,kaggle
7639-LIAYI,52,79.75,4217.8,Two year,Credit card (automatic),0,Male,0,No,No,DSL,kaggle
2954-PIBKO,69,64.15,4254.1,Two year,Credit card (automatic),0,Female,0,Yes,Yes,DSL,kaggle
8012-SOUDQ,43,90.25,3838.75,Month-to-month,Electronic check,0,Female,1,No,No,Fiber optic,kaggle
9420-LOJKX,15,99.1,1426.4,Month-to-month,Credit card (automatic),1,Female,0,No,No,Fiber optic,kaggle
6575-SUVOI,25,69.5,1752.65,Month-to-month,Credit card (automatic),0,Female,1,Yes,No,DSL,kaggle
7495-OOKFY,8,80.65,633.3,Month-to-month,Credit card (automatic),1,Female,1,Yes,No,Fiber optic,kaggle
4667-QONEA,60,74.85,4456.35,One year,Credit card (automatic),0,Female,1,Yes,Yes,DSL,kaggle
1658-BYGOY,18,95.45,1752.55,Month-to-month,Electronic check,1,Male,1,No,No,Fiber optic,kaggle
8769-KKTPH,63,99.65,6311.2,One year,Credit card (automatic),0,Female,0,Yes,Yes,Fiber optic,kaggle
5067-XJQFU,66,108.45,7076.35,One year,Electronic check,0,Male,1,Yes,Yes,Fiber optic,kaggle
3957-SQXML,34,24.95,894.3,Two year,Credit card (automatic),0,Female,0,Yes,Yes,No,kaggle
5954-BDFSG,72,107.5,7853.7,Two year,Credit card (automatic),0,Female,0,No,No,Fiber optic,kaggle
0434-CSFON,47,100.5,4707.1,Month-to-month,Electronic check,0,Female,0,Yes,No,Fiber optic,kaggle
1215-FIGMP,60,89.9,5450.7,Month-to-month,Bank transfer (automatic),0,Male,0,No,No,Fiber optic,kaggle
0526-SXDJP,72,42.1,2962.0,Two year,Bank transfer (automatic),0,Male,0,Yes,No,DSL,kaggle
0557-ASKVU,18,54.4,957.1,One year,Credit card (automatic),0,Female,0,Yes,Yes,DSL,kaggle
5698-BQJOH,9,94.4,857.25,Month-to-month,Electronic check,1,Female,0,No,No,Fiber optic,kaggle
5122-CYFXA,3,75.3,244.1,Month-to-month,Electronic check,0,Female,0,No,No,DSL,kaggle
8627-ZYGSZ,47,78.9,3650.35,One year,Electronic check,0,Male,0,Yes,No,Fiber optic,kaggle
3410-YOQBQ,31,79.2,2497.2,Two year,Mailed check,0,Female,0,No,No,DSL,kaggle
3170-NMYVV,50,20.15,930.9,Two year,Bank transfer (automatic),0,Female,0,Yes,Yes,No,kaggle
7410-OIEDU,10,79.85,887.35,Month-to-month,Mailed check,0,Male,0,No,No,Fiber optic,kaggle
2273-QCKXA,1,49.05,49.05,Month-to-month,Mailed check,0,Male,0,No,No,DSL,kaggle
0731-EBJQB,52,20.4,1090.65,One year,Electronic check,0,Female,0,Yes,Yes,No,kaggle
1891-QRQSA,64,111.6,7099.0,Two year,Bank transfer (automatic),0,Male,1,Yes,Yes,Fiber optic,kaggle
8028-PNXHQ,62,24.25,1424.6,Two year,Bank transfer (automatic),0,Male,0,Yes,Yes,No,kaggle
5630-AHZIL,3,64.5,177.4,Month-to-month,Bank transfer (automatic),0,Female,0,No,Yes,DSL,kaggle
2673-CXQEU,56,110.5,6139.5,One year,Electronic check,0,Female,1,No,No,Fiber optic,kaggle
6416-JNVRK,46,55.65,2688.85,One year,Credit card (automatic),0,Female,0,No,No,DSL,kaggle
5590-ZSKRV,8,54.65,482.25,Month-to-month,Mailed check,0,Female,0,Yes,Yes,DSL,kaggle
0191-ZHSKZ,30,74.75,2111.3,Month-to-month,Electronic check,0,Male,1,No,No,DSL,kaggle
3887-PBQAO,45,25.9,1216.6,One year,Credit card (automatic),0,Female,0,Yes,Yes,No,kaggle
5919-TMRGD,1,79.35,79.35,Month-to-month,Electronic check,1,Female,0,No,Yes,Fiber optic,kaggle
8108-UXRQN,11,50.55,565.35,Month-to-month,Electronic check,0,Female,0,Yes,Yes,DSL,kaggle
9191-MYQKX,7,75.15,496.9,Month-to-month,Bank transfer (automatic),1,Female,0,Yes,No,Fiber optic,kaggle
9919-YLNNG,42,103.8,4327.5,Month-to-month,Bank transfer (automatic),0,Female,0,No,No,Fiber optic,kaggle
0318-ZOPWS,49,20.15,973.35,Two year,Bank transfer (automatic),0,Female,0,Yes,No,No,kaggle
4445-ZJNMU,9,99.3,918.75,Month-to-month,Credit card (automatic),0,Male,0,No,No,Fiber optic,kaggle
4808-YNLEU,35,62.15,2215.45,One year,Bank transfer (automatic),0,Female,0,Yes,No,DSL,kaggle
